user_age,steps_taken,sleep_hours_tracked,avg_resting_hr,calories_consumed,protein_intake_g,room_temp_c,room_co2_ppm,spo2_percentage,readiness_score
56,8507,10.336576457103545,63.0,2599,53.6913265730886,24.07642753355352,733.0,98.09547670019431,70.89764850392673
46,8083,7.413961349307378,57.0,1662,108.91996229663019,26.43023187706312,529.0,95.67654966312244,71.8385969370667
32,6770,6.191806551899083,94.0,2489,88.70880203290231,24.40647053496056,460.0,97.97286564815147,59.40069976451464
60,13471,5.920288757646771,74.0,2758,71.80253942642808,20.19952997080989,761.0,96.73712577038516,71.46541221898715
25,5135,8.098894793253338,65.0,3274,33.34142430846841,21.87442578852516,661.0,96.30864852329759,66.31367447372779
38,13363,5.1003335847410245,74.0,2811,59.67558986648049,25.851072379218653,550.0,96.44986635152499,59.81830201947348
56,9749,7.054795264986447,67.0,3144,111.24336420553767,19.06575089305627,482.0,97.73565012587181,81.96366660302186
36,3102,8.09981496298204,,1780,114.41523807781671,23.956487816713064,615.0,98.16121197451659,65.2562750420131
40,9286,9.838469676985802,69.0,2204,83.67868558271485,18.379791979640025,539.0,96.45037876341871,78.92818132441967
28,649,8.701586544665993,68.0,2657,114.50955429429852,26.21009406857832,756.0,97.516464742635,65.92426302363053
28,10189,6.2146827876320785,67.0,3096,118.35780233682412,20.924213688122524,848.0,97.51122459149977,60.7192074860159
41,11098,9.621154771614696,56.0,2312,94.63919875879043,27.57260931130953,326.0,98.10750529004744,77.77017225372542
53,5926,6.96087293241454,83.0,2350,68.32999128449387,26.320159496604575,354.0,98.48037278992473,59.3697376019186
57,8432,5.275734560311063,60.0,2812,103.23162338446934,21.73392372604653,869.0,99.71683208090907,67.84967383331177
41,14839,7.1903255533221495,57.0,1724,104.6095412297659,20.201486567223974,633.0,96.30224442021549,80.47448310622154
20,6229,10.088704562062263,66.0,3364,110.21833171050929,22.486938679727285,373.0,99.19001484949028,75.54732231769033
39,4293,7.797432090116866,6.0,1872,115.96209810006718,21.549602583383592,796.0,97.17561156259201,78.97421092046363
19,13185,7.522539355793615,67.0,1248,49.135062842363354,20.996082591036018,668.0,95.35779819188245,71.8708979152327
41,14869,10.446980960465137,73.0,2406,74.70212263902773,17.85471686355426,1040.0,96.02427327092909,59.55085922511353
61,61225,4.923561275302031,75.0,3419,33.04135962936541,20.71361604086353,552.0,97.69894018032431,59.62820388156031
47,11540,5.185921594705009,74.0,2751,112.40988115066042,19.2238021956094,821.0,98.0856410678882,58.66656573959815
55,12695,4.591476352259702,65.0,2850,83.63065656058751,23.379119266063093,310.0,95.47559821490826,68.36231947523227
19,5401,8.170766735664099,68.0,2424,102.92442212092246,24.47767829149356,879.0,95.85417361507265,62.67674888830296
38,6301,7.799687628807224,71.0,2308,45.72963755429525,23.851710009808993,,96.20032501471164,69.37353042852084
50,12308,10.276925461103597,53.0,1473,132.0294254907915,22.855937724068767,920.0,95.7049479671529,84.62818658776607
29,13897,7.938255138846186,72.0,1044,54.169825061421754,19.867732332147746,822.0,94.17987251462877,66.42490194332994
39,9970,6.772517112937255,56.0,2517,113.23689913147376,22.513501931504777,580.0,93.67102943055504,70.5117792486529
61,4920,7.503230771180593,84.0,3187,93.53850512677624,23.98191285911094,365.0,96.42728932675244,66.26783766847986
42,14954,7.711873353229724,64.0,2606,84.31671667421463,20.534411064000675,479.0,97.37811893443956,79.69192491131432
44,6141,4.490829708009299,66.0,2774,81.89519680163478,22.297466053487515,247.0,97.98337841013797,57.937923046160336
